	County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
2928	Hampton City	VA	2811	13.1	11.6	8.5	5611.0	3410.0
2929	Harrisonburg City	VA	2303	17.9	5.9	10.4	2382.0	1298.0
2930	Hopewell City	VA	2216	16.4	10.5	14.4	3525.0	2654.0
2931	Lexington City	VA	2721	16.1		-1111.1	558.0	767.0
2932	Lynchburg City	VA	1356	17.5	9.2	11.0	4221.0	4057.0
2933	Manassas City	VA	3783	7.5	4.5	-1111.1	3593.0	959.0
2934	Manassas Park City	VA	4667	6.5	6.3	-1111.1	1915.0	347.0
2935	Martinsville City	VA	1362	17.9	2.4	19.9	1907.0	2598.0
2936	Newport News City	VA	2634	14.0	11.7	10.1	9587.0	4220.0
2937	Norfolk City	VA	4317	19.8	11.0	12.6	12143.0	6226.0
2939	Petersburg City	VA	1425	18.5	12.6	9.1	2706.0	2471.0
2940	Poquoson City	VA	761	4.8	6.5	12.8	1267.0	986.0
2941	Portsmouth City	VA	3021	16.5	14.2	13.4	4726.0	3254.0
2942	Radford City	VA	1484	18.5	6.8	19.1	1317.0	1023.0
2943	Richmond City	VA	3226	20.2	14.8	11.5	9287.0	6989.0
2944	Roanoke City	VA	2160	16.9	10.5	16.1	6456.0	6277.0
2945	Salem City	VA	1690	8.4	7.6	11.2	2528.0	3045.0
2946	Staunton City	VA	1184	13.1	6.6	14.5	2527.0	2964.0
2948	Virginia Beach City	VA	1766	8.0	7.1	9.8	18786.0	7655.0
2949	Waynesboro City	VA	1385	13.1	8.1	19.7	2731.0	2330.0
2950	Williamsburg City	VA	1376	17.5	11.2	16.4	1192.0	1288.0
2951	Winchester City	VA	2692	12.0	8.0	15.8	3336.0	2628.0
2957	Clark	WA	643	10.5	5.4	13.8	15927.0	7314.0
2968	King	WA	844	9.4	4.9	10.6	66179.0	34777.0
2969	Kitsap	WA	608	9.2	6.4	11.5	8916.0	5391.0
3075	Kenosha	WI	588	8.8	5.6	13.6	6381.0	3763.0
3086	Milwaukee	WI	3815	16.2	10.4	11.4	43885.0	26557.0
3097	Racine	WI	588	9.3	10.9	11.6	7676.0	4595.0
3113	Waukesha	WI	682	4.1	3.0	8.0	13001.0	8256.0
